batch	param	setting	dataset	ESS	hr	partition	Leff	L	N	mean.speed	CD_weight	RW_weight	SPP_weight	NER_weight	NER_acc	NE_acc	correctBactrian	ESS.hr
1	likelihood	cat_adaptive	Kawahara_2013	4335.19820863133	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1312.8123781185
1	TipRates	cat_adaptive	Kawahara_2013	17979.5312970821	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	5444.67636856455
1	height	cat_adaptive	Kawahara_2013	2602.94363930449	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	788.239998443485
1	ucldStdev	cat_adaptive	Kawahara_2013	6052.0915016776	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1832.73295811233
1	kappa	cat_adaptive	Kawahara_2013	10929.713594382	3.30222222222222	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	3309.80559722201
1	prior	real_06	Kawahara_2013	13.6492620691276	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	8.95686172964988
1	likelihood	real_06	Kawahara_2013	109.0212943419	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	71.5414982921692
1	TipRates	real_06	Kawahara_2013	10760.4087299311	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	7061.1504607641
1	height	real_06	Kawahara_2013	1585.12456184537	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1040.18381747053
1	ucldStdev	real_06	Kawahara_2013	19.3713386287232	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	12.7117789032817
1	kappa	real_06	Kawahara_2013	11453.6748418517	1.52388888888889	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	7516.082652327
1	prior	real	Kawahara_2013	2860.37538111897	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1056.78893391095
1	likelihood	real	Kawahara_2013	4054.85299307473	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1498.09839645618
1	TipRates	real	Kawahara_2013	8402.08275383242	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	3104.21776619424
1	height	real	Kawahara_2013	1894.41854923743	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	699.90833099905
1	ucldStdev	real	Kawahara_2013	2450.75903284737	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	905.452844648045
1	kappa	real	Kawahara_2013	10962.7087762097	2.70666666666667	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	4050.26186313166
1	prior	real_adaptive	Kawahara_2013	3333.51499300022	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	1508.94680935506
1	likelihood	real_adaptive	Kawahara_2013	3516.80374776802	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	1591.91418231672
1	TipRates	real_adaptive	Kawahara_2013	16388.840250038	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	7418.56216523788
1	height	real_adaptive	Kawahara_2013	2825.82059314954	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	1279.13418022612
1	ucldStdev	real_adaptive	Kawahara_2013	4116.50210889893	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	1863.37326694784
1	kappa	real_adaptive	Kawahara_2013	10540.4242666082	2.20916666666667	3	0.9	2.2	70	1	0.334875733605709	0.220904527415559	0.153181576050595	-1	-1	-1	TRUE	4771.22184833265
1	prior	quant_06_cached	Kawahara_2013	9890.7558939852	3.455	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	2862.73687235462
1	likelihood	quant_06_cached	Kawahara_2013	3475.52261476817	3.455	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	1005.93997533087
1	TipRates	quant_06_cached	Kawahara_2013	16039.9711895463	3.455	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	4642.53869451411
1	height	quant_06_cached	Kawahara_2013	2243.74830218358	3.455	3	0.9	2.2	70	1	-1	-1	-1	-1	-1	-1	TRUE	649.420637390327
